City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Shimoda,75,jp,68,34.67,138.95,65.57,19.46
Stolin,53,by,72,51.89,26.85,38.14,11.68
Albany,75,us,25,42.6,-73.97,57.51,1.88
Moranbah,0,au,53,-22.0,148.05,75.54,15.48
Maputo,40,mz,73,-25.97,32.59,72.64,10.29
Port Hedland,18,au,22,-20.32,118.57,91.4,14.99
Sobolevo,8,ru,80,54.43,31.9,34.43,5.86
Pangnirtung,99,ca,93,66.15,-65.71,32.97,2.93
Avarua,6,ck,66,-21.21,-159.78,84.2,6.93
Mataura,100,nz,57,-46.19,168.86,57.0,10.0
Ancud,90,cl,93,-41.87,-73.82,54.21,8.05
Bluff,100,nz,57,-46.6,168.33,57.0,10.0
Naze,75,jp,72,28.37,129.48,66.2,2.24
Hartland,5,us,49,43.1,-88.34,49.42,9.17
Bredasdorp,0,za,77,-34.53,20.04,62.6,11.41
Tura,57,in,82,25.52,90.22,66.13,2.35
Ushuaia,17,ar,64,-54.8,-68.3,35.6,5.82
Tasiilaq,64,gl,59,65.61,-37.64,33.8,26.4
Cherskiy,33,ru,93,68.75,161.3,20.71,4.74
Aykhal,90,ru,69,66.0,111.5,39.2,15.66
Rikitea,0,pf,76,-23.12,-134.97,76.17,15.95
East London,95,za,76,-33.02,27.91,65.52,11.01
Rundu,29,na,72,-17.93,19.77,62.6,5.23
Geraldton,75,au,77,-28.77,114.6,62.6,9.17
Burnie,64,au,54,-41.07,145.92,58.28,11.01
Lüderitz,0,na,93,-26.65,15.16,55.4,1.12
Punta Arenas,5,cl,80,-53.15,-70.92,33.8,6.51
Kapaa,1,us,65,22.08,-159.32,78.53,11.41
Iqaluit,75,ca,79,63.75,-68.51,28.2,3.36
Kiunga,93,pg,75,-6.12,141.29,83.07,1.59
Atar,0,mr,19,20.52,-13.05,73.0,7.94
Bairiki Village,75,ki,83,1.33,172.98,82.4,5.82
Shelburne,1,ca,34,44.08,-80.2,51.69,4.7
Newport,71,gb,86,51.59,-3.0,49.03,2.84
Saint-Philippe,20,re,83,-21.36,55.77,69.91,5.82
Kloulklubed,75,pw,79,7.04,134.26,84.2,14.99
Ahipara,51,nz,70,-35.17,173.17,65.52,7.18
Guerrero Negro,0,mx,36,27.98,-114.06,77.95,15.48
Barrow,1,us,78,71.29,-156.79,8.6,9.17
Lodwar,100,ke,54,3.12,35.6,81.41,14.38
Madimba,84,tz,80,-10.4,40.33,78.26,7.52
Vila Franca do Campo,20,pt,71,37.72,-25.43,57.2,8.05
Jizan,6,sa,70,17.33,42.67,86.0,4.7
Christchurch,76,nz,67,-43.53,172.63,58.84,19.46
Presidencia Roque Sáenz Peña,64,ar,46,-26.79,-60.44,82.81,3.74
Poum,100,nc,72,-20.23,164.02,75.97,17.02
Kenai,1,us,39,60.55,-151.26,50.74,16.11
Provideniya,0,ru,89,64.38,-173.3,30.69,0.43
Ngunguru,1,nz,65,-35.62,174.5,69.21,5.01
Arraial do Cabo,0,br,80,-22.97,-42.03,75.88,17.16
Castro,1,br,65,-24.79,-50.01,61.07,1.52
Sitges,20,es,87,41.24,1.81,54.57,5.82
Faanui,0,pf,69,-16.48,-151.75,82.38,6.71
Te Anau,95,nz,52,-45.42,167.72,54.03,9.08
Cape Town,0,za,93,-33.93,18.42,56.68,2.24
Port Alfred,87,za,91,-33.59,26.89,60.01,4.0
Esperance,90,au,93,-33.87,121.9,57.2,3.36
Coyhaique,90,cl,87,-45.58,-72.07,42.8,2.24
Waipawa,83,nz,68,-41.41,175.52,62.96,17.22
Vaini,90,to,83,-21.2,-175.2,78.8,9.17
Hofn,60,is,80,64.25,-15.21,37.44,13.56
Busselton,81,au,98,-33.65,115.33,52.38,7.29
Garissa,100,ke,83,-0.45,39.64,75.2,7.34
Kaitangata,100,nz,53,-46.28,169.85,57.99,1.01
Tuktoyaktuk,75,ca,77,69.45,-133.04,-0.4,11.41
Deputatsky,17,ru,91,69.3,139.9,22.91,3.98
São Filipe,49,cv,76,14.9,-24.5,71.96,13.33
Nyuksenitsa,23,ru,95,60.41,44.24,24.31,5.3
New Norfolk,75,au,67,-42.78,147.06,54.18,4.0
Sorong,99,id,76,-0.88,131.25,83.12,1.83
Houma,1,us,50,29.6,-90.72,75.47,9.17
Nurobod,54,uz,88,40.91,69.8,62.6,4.7
Pimentel,2,pe,78,-6.84,-79.93,70.12,13.91
Saskylakh,100,ru,96,71.92,114.08,34.05,11.5
Carnarvon,49,au,56,-24.87,113.63,76.78,11.03
Paita,1,pe,68,-5.09,-81.11,74.25,17.13
Narasannapeta,75,in,80,18.42,84.05,79.68,2.95
Butaritari,87,ki,80,3.07,172.79,82.85,14.47
Ilulissat,53,gl,33,69.22,-51.1,46.4,23.04
Port Macquarie,3,au,71,-31.43,152.92,76.35,7.72
Bethel,1,us,35,41.37,-73.41,52.36,9.17
Dingli,20,mt,93,35.86,14.38,61.25,6.93
Krasnomayskiy,9,ru,91,57.62,34.41,29.7,3.76
Laguna,1,us,21,38.42,-121.42,88.36,5.82
Linxia Chengguanzhen,0,cn,21,35.6,103.21,49.1,5.17
Dingle,16,ph,74,11.0,122.67,83.16,12.88
Jamestown,90,us,54,42.1,-79.24,54.84,8.05
